Date,NMDS1,NMDS2
7/3/2007,0.502150917,-0.101371151
7/14/2007,0.368042489,-0.036654466
7/28/2007,0.385059794,-0.158436327
8/7/2007,0.302734266,-0.099890341
8/15/2007,0.435651765,-0.152269515
8/30/2007,0.242154313,-0.105229036
9/12/2007,0.279018657,-0.123607146
9/24/2007,0.256699639,-0.249895566
10/12/2007,0.310473191,-0.237151152
10/23/2007,-0.432803768,0.267693688
11/7/2007,-0.123778812,-0.304744773
11/20/2007,0.123622608,0.398454726
12/10/2007,0.149586326,0.354939017
2/12/2008,-0.173028892,0.278592563
2/17/2008,-0.066214528,0.472588477
3/4/2008,0.119445116,0.312974601
3/18/2008,0.391179164,0.144706243
3/21/2008,0.096936502,0.346753352
3/31/2008,0.558009942,0.109105217
4/12/2008,0.302531809,0.095742621
4/22/2008,0.387549379,0.094769557
5/1/2008,0.52120047,0.347309154
5/9/2008,0.592153157,0.199697006
5/21/2008,0.299003967,0.025445477
5/27/2008,0.518899117,-0.098115878
6/11/2008,0.527079799,-0.047233649
6/24/2008,0.636102656,-0.077595762
6/29/2008,0.580969979,-0.135866196
7/1/2008,0.507955837,-0.093930125
7/12/2008,0.514899205,-0.131060587
7/18/2008,0.489629708,-0.030358479
7/28/2008,0.528302655,-0.199988792
8/5/2008,0.539488056,-0.167814673
8/12/2008,0.589484303,0.005020228
8/22/2008,0.449084658,0.048733099
9/8/2008,0.338566758,0.019421724
9/16/2008,0.361821198,-0.031977645
9/23/2008,0.360487314,-0.06301064
10/1/2008,0.329028651,-0.259497185
10/12/2008,0.213842294,-0.000832822
10/22/2008,0.293418722,-0.03043423
10/27/2008,0.221673033,-0.159402969
11/19/2008,-0.171439687,0.132043104
11/24/2008,-0.155510338,0.268155062
12/8/2008,-0.390109297,0.204260744
1/14/2009,-0.172254044,0.142767303
1/23/2009,-0.104011976,0.166511689
2/4/2009,-0.257775021,0.269725576
2/17/2009,-0.123231824,0.194037079
3/6/2009,0.120774297,0.737766766
3/24/2009,0.309709919,0.699387554
4/4/2009,0.202692203,0.076682747
4/23/2009,0.375531418,0.257061173
5/7/2009,0.582302852,0.068680566
5/16/2009,0.351187247,0.292815042
5/26/2009,0.528838078,-0.168032776
6/2/2009,0.42204508,-0.192435185
6/14/2009,0.46890135,-0.112240803
